年份,省份,道路网密度,万人公交车标台数,公交站点500m覆盖率,新能源充电桩数量,人均道路面积,绿色交通出行分担率,私家车拥有量,城市化率,人口密度,人均GDP,全年空气质量优良天数,可吸入颗粒物年均浓度,二氧化碳年排放量,高峰期平均车速,高峰拥堵延时指数,建成区绿化覆盖率,环保财政支出占比,道路运输财政支出占比,新能源车辆占有率
2016,北京,0.7179245283018868,0.865055387713998,0.5502645502645502,0.02343484847230615,0.36655405405405406,0.7975708502024291,0.8560131270083638,0.9338478500551268,0.3395528102506509,0.598079170952308,0.3235294117647059,0.31724845995893225,0.6999854579565393,0.0999999999999999,0.25791855203619907,0.13767458733901689,0.42247191011235957,0.302019315188762,0.07095187917105726
2016,天津,0.8415094339622642,0.7099697885196375,0.5291005291005292,0.003289101539972793,0.6621621621621622,0.38866396761133615,0.9386836527723968,0.8551267916207278,0.3074429526775231,0.36745780990033927,0.11176470588235295,0.11088295687885019,0.9210465664721317,0.24885057471264374,0.6131221719457014,0.049337928532559396,0.011235955056179785,0.1378402107111501,0.019318580962416582
2016,河北,0.319811320754717,0.11681772406847937,0.24338624338624348,0.008222753849931983,0.19679054054054052,0.125506072874494,0.593267850224481,0.23947078280044098,0.0976313237020777,0.18073926619972414,0.07058823529411765,0.047227926078028726,0.7590232830779602,0.35459770114942535,0.7160633484162895,0.14366043896245237,0.5550561797752808,0.19402985074626863,0.003512469265893924
2016,山西,0.28867924528301886,0.07854984894259817,0.2195767195767195,0.004111376924965992,0.2170608108108108,0.1619433198380567,0.8480746294734762,0.2659316427783903,0.055184031854612285,0.15971577196018003,0.12941176470588237,0.047227926078028726,0.7670161487277303,0.2867816091954022,0.6515837104072397,0.06675131507346271,0.6674157303370786,0.3722563652326602,0.0038637161924833154
2016,内蒙古,0.06792452830188679,0.1540785498489426,0.11111111111111119,0.002055688462482996,0.5371621621621622,0.028340080971660037,0.8833952460174571,0.37574421168687977,0.003190566134054827,0.2629866472650992,0.43529411764705883,0.30184804928131426,0.8087153777613492,0.37586206896551716,0.7352941176470589,0.10774532922183927,0.38202247191011235,0.44424934152765577,0.001053740779768177
2016,辽宁,0.3254716981132076,0.3363544813695871,0.439153439153439,0.0037002392324693924,0.3876689189189189,0.20647773279352236,0.817517111450428,0.5120176405733188,0.0722599418040737,0.22221842644177595,0.48823529411764705,0.349075975359343,0.4882389834715437,0.7999999999999998,0.6119909502262442,0.20025394522038817,0.08089887640449435,0.1773485513608428,0.0017562346329469613
2016,吉林,0.22641509433962267,0.2658610271903323,0.28571428571428564,0.002466826154979595,0.3783783783783784,0.10526315789473692,0.9080653615624786,0.27563395810363833,0.032901117974373374,0.19065548614406774,0.5529411764705883,0.44455852156057496,0.8396702325326098,0.23160919540229888,0.595022624434389,0.07328133502630146,0.5842696629213482,0.3827919227392449,0.004566210045662101
2016,黑龙江,0.09339622641509435,0.31419939577039274,0.2645502645502646,0.002877963847476194,0.29560810810810806,0.07692307692307689,0.8969400700410979,0.3318632855567807,0.01661646842615754,0.16367672015023907,0.5,0.349075975359343,0.7230856127640369,0.625862068965517,0.6221719457013575,0.12842372573916197,0.397752808988764,0.34240561896400346,0.0024587284861257467
2016,上海,0.7141509433962264,0.5055387713997985,0.5502645502645502,0.02466826154979595,0.17820945945945946,0.7085020242914983,0.9355424386760561,0.9581036383682469,0.9911429884118638,0.5793870040274257,0.5882352941176471,0.5236139630390144,0.3508572454770389,0.14770114942528736,0.42533936651583715,0.22238345728278616,0.3932584269662921,0.40210711150131695,0.09940288022479804
2016,江苏,0.2160377358490566,0.2940584088620342,0.439153439153439,0.03712656142645464,0.6190878378378378,0.4736842105263157,0.554505951973989,0.5192943770672548,0.19748328143345753,0.431045339468956,0.4764705882352941,0.45995893223819306,0.44517612604636747,0.2494252873563218,0.5124434389140271,0.5000906947215672,0.15056179775280898,0.22036874451273045,0.013347383210396909
2016,浙江,0.2018867924528302,0.34843907351460224,0.462962962962963,0.03531645185412062,0.39020270270270263,0.42510121457489913,0.6082902223538975,0.503858875413451,0.1448261779570167,0.36562967996646584,0.5235294117647059,0.4763860369609856,0.6133899288922513,0.6275862068965515,0.5135746606334841,0.26863776528206057,0.12808988764044946,0.27480245829675154,0.020021074815595365
2016,安徽,0.2528301886792453,0.06545820745216514,0.3306878306878307,0.013156406159891172,0.2795608108108108,0.21052631578947384,0.8334472830587145,0.18676957001102532,0.10784113533105313,0.20504508463872276,0.5529411764705883,0.30184804928131426,0.7456195858635244,0.6270114942528735,0.7047511312217194,0.16760384545619444,0.2966292134831461,0.19578577699736607,0.009834913944502987
2016,福建,0.21320754716981136,0.22759315206445113,0.30952380952380965,0.011511855389904777,0.18750000000000003,0.1821862348178138,0.8623677233604533,0.42888643880926136,0.08060646281076113,0.3471083231616677,0.7941176470588235,0.7299794661190965,0.7263106800818644,0.46091954022988496,0.7352941176470589,0.11064756031198983,0.2539325842696629,0.2774363476733977,0.010888654724271161
2016,江西,0.19622641509433963,0.0020140986908358527,0.19841269841269843,0.006167065387448987,0.1714527027027027,0.08502024291497982,0.8951282694075374,0.19735391400220512,0.0666445454081372,0.19260364481097322,0.6823529411764706,0.3809034907597536,0.8374086478204297,0.5787356321839078,0.8303167420814479,0.09178305822601124,0.5528089887640449,0.1773485513608428,0.007024938531787847
2016,山东,0.29811320754716986,0.3011077542799597,0.39682539682539686,0.016445507699863967,0.5185810810810811,0.2348178137651824,0.43872543433836986,0.3278941565600883,0.15914543876665474,0.2763236861008574,0.011764705882352941,0.1273100616016427,0.45955348410854335,0.6637931034482758,0.595022624434389,0.3983312171231634,0.16179775280898875,0.052677787532923584,0.005619950825430278
2016,河南,0.28584905660377363,0.05740181268882174,0.37566137566137575,0.011922993082401375,0.08868243243243241,0.2672064777327936,0.6507782766243533,0.11069459757442124,0.14737863086426053,0.18960754297490293,0.07647058823529412,0.1273100616016427,0.6623610065926608,0.5770114942528737,0.75,0.16179938327589333,0.15056179775280898,0.1334503950834065,0.005268703898840885
2016,湖北,0.17830188679245282,0.16314199395770393,0.4841269841269841,0.017267783084857165,0.2939189189189189,0.4372469635627533,0.8303174639349119,0.33406835722160966,0.07874317218847311,0.2648517091168286,0.4176470588235294,0.3655030800821355,0.512115531655355,0.11149425287356328,0.3981900452488688,0.13785597678215128,0.24719101123595502,0.40210711150131695,0.009132420091324202
2016,湖南,0.17924528301886794,0.11278952668680767,0.3518518518518518,0.008633891542428582,0.10219594594594594,0.33603238866396784,0.8210229646679885,0.23087100330760746,0.07777324008372045,0.21754653883298836,0.43529411764705883,0.07905544147843957,0.6305208100869235,0.5614942528735631,0.6447963800904977,0.10030836205332849,0.18876404494382024,0.2589991220368745,0.011239901650860553
2016,广东,0.19056603773584907,0.3272910372608258,0.5502645502645502,0.06520533430461165,0.320945945945946,0.57085020242915,0.46359686106489806,0.5523704520396914,0.16708356730818316,0.3236473223436257,0.6411764705882353,0.635523613963039,0.04645181707625845,0.2741379310344827,0.33484162895927605,0.8099038635951388,0.3348314606741573,0.1527655838454785,0.02809975412715139
2016,广西,0.17735849056603775,0.009063444108761337,0.28571428571428564,0.005755927694952388,0.1385135135135135,0.2874493927125507,0.8849677522277171,0.08665931642778389,0.05046199397621114,0.1560041142156492,0.8117647058823529,0.6190965092402464,0.7724005692067497,0.5327586206896551,0.8642533936651583,0.14202793397424268,0.040449438202247175,0.3520632133450395,0.007376185458377239
2016,海南,0.2358490566037736,0.14803625377643506,0.15608465608465588,0.0012334130774897974,0.2744932432432432,0.06477732793522274,0.9962358607382423,0.28555678059536943,0.06692531522793403,0.20020238690985107,0.7823529411764706,0.8254620123203286,0.9623875967215428,0.31896551724137934,0.6832579185520362,0.01650643932523127,0.23595505617977527,0.17471466198419666,0.010888654724271161
2016,重庆,0.21037735849056605,0.2064451158106747,0.39682539682539686,0.007811616157435384,0.29898648648648646,0.3684210526315791,0.9218760682786754,0.439470782800441,0.09426208586451579,0.27118091653940546,0.6176470588235294,0.42915811088295686,0.7629247051993435,0.08390804597701153,0.3042986425339368,0.09722474152004354,0.5910112359550561,0.40210711150131695,0.019669827889005974
2016,四川,0.05943396226415094,0.09969788519637465,0.3518518518518518,0.00986730461991838,0.1368243243243243,0.3805668016194332,0.7291528977415165,0.14641675854465272,0.04127316351013324,0.18951982966999487,0.4,0.3336755646817249,0.6349257343101167,0.23735632183908037,0.6006787330316743,0.17123163431888266,0.23820224719101118,0.39947322212467073,0.011239901650860553
2016,贵州,0.14622641509433962,0.0,0.17724867724867735,0.004522514617462591,0.0,0.2348178137651824,0.9097290275530436,0.0,0.052376333656644035,0.1490193652511278,0.8235294117647058,0.6827515400410678,0.8075726930083105,0.32988505747126423,0.6934389140271492,0.0627607473245057,0.25842696629213485,0.6145741878841089,0.006322444678609063
2016,云南,0.05849056603773584,0.05941591137965759,0.19841269841269843,0.0053447900024557885,0.08277027027027027,0.28340080971659926,0.8385294408107142,0.01014332965821391,0.028230129154117108,0.16552793253277248,0.7823529411764706,0.7145790554414784,0.7275986032002411,0.4971264367816093,0.6730769230769229,0.06693270451659712,0.30786516853932583,0.5408252853380158,0.005268703898840885
2016,陕西,0.18113207547169813,0.13695871097683784,0.3306878306878307,0.006989340772442186,0.14864864864864863,0.3238866396761134,0.8604875528916642,0.29084895259095933,0.04602072591760682,0.23060197179509437,0.08823529411764706,0.0,0.8534836642358916,0.22988505747126434,0.5237556561085973,0.09522945764556502,0.5752808988764044,0.29060579455662855,0.007727432384966632
2016,甘肃,0.06037735849056603,0.03323262839879155,0.06613756613756615,0.0012334130774897974,0.14864864864864863,0.09716599190283397,0.9489315314083426,0.011907386990077158,0.013043034356016132,0.13199375111949876,0.38235294117647056,0.15913757700205333,0.9064832526446304,0.16206896551724137,0.573529411764706,0.03645927807001632,0.5325842696629214,0.340649692712906,0.0024587284861257467
2016,青海,0.0,0.21248741188318226,0.0,0.0,0.11486486486486486,0.0,1.0,0.17684674751929444,0.0,0.18325063661393406,0.7294117647058823,0.44455852156057496,0.994964052744415,0.6436781609195401,0.7590497737556561,0.0,0.946067415730337,1.0,0.0
2016,宁夏,0.15471698113207547,0.31017119838872104,0.08994708994708973,0.00020694850293452978,0.6148648648648649,0.016194331983805613,0.9883505397418659,0.26725468577728784,0.0246566950839757,0.18949213073160284,0.3764705882352941,0.15913757700205333,0.9915639095310503,0.5735632183908046,1.0,0.034282604752403405,0.797752808988764,0.7515364354697103,0.0003512469265893922
2016,新疆,0.0028301886792452802,0.20745216515609266,0.11111111111111119,0.0016445507699863965,0.29138513513513514,0.052631578947368605,0.9265290153984063,0.11532524807056238,0.0016590943897085099,0.18846265352136607,0.4764705882352941,0.11088295687885019,0.7550918289276959,1.0,0.5463800904977376,0.10629421367676402,0.18202247191011237,0.5566286215978928,0.002107481559536354
2017,北京,0.7179245283018868,1.0,0.6296296296296297,0.03383745988648185,0.3530405405405405,0.8380566801619433,0.8504789686790188,0.9338478500551268,0.3393996630762162,0.6591045487196627,0.3058823529411765,0.4004106776180698,0.679728039626178,0.075287356321839,0.18778280542986414,0.1402140395428986,0.42247191011235957,0.28182616330114135,0.09975412715138743
2017,天津,0.8415094339622642,0.730110775427996,0.6058201058201056,0.004903299862862125,0.6993243243243245,0.4291497975708503,0.9355994135387466,0.8551267916207278,0.3003726581244576,0.40818448231607446,0.1,0.2114989733059548,0.9193923879521986,0.22126436781609202,0.5542986425339366,0.06910937783421003,0.011235955056179785,0.12379280070237046,0.030909729539866527
2017,河北,0.32924528301886796,0.15709969788519637,0.3121693121693121,0.011989216603340425,0.21368243243243243,0.1659919028340082,0.5417625743521958,0.2707828004410143,0.09809076522538157,0.19352694275737395,0.058823529411764705,0.15297741273100618,0.7894951620355861,0.3258620689655173,0.6617647058823528,0.14892073281335028,0.5550561797752808,0.1782265144863916,0.007024938531787847
2017,山西,0.28867924528301886,0.08962739174219539,0.28835978835978815,0.006084285986275175,0.25253378378378377,0.20242914979757087,0.8249960117596116,0.29084895259095933,0.055107458267394965,0.19302836186631755,0.11176470588235295,0.15297741273100618,0.7563347610019813,0.25919540229885063,0.595022624434389,0.10484309813168874,0.6674157303370786,0.34942932396839327,0.007376185458377239
2017,内蒙古,0.07075471698113207,0.15508559919436052,0.17460317460317445,0.0031318206777425505,0.5548986486486487,0.06882591093117421,0.8608294020678077,0.40904079382579944,0.003190566134054827,0.28476724582069185,0.4176470588235294,0.38603696098562623,0.7999360522534429,0.3471264367816091,0.6821266968325791,0.11064756031198983,0.38202247191011235,0.417910447761194,0.003161222339304531
2017,辽宁,0.34433962264150947,0.35448136958710974,0.5158730158730159,0.005493792924568651,0.4222972972972973,0.24696356275303655,0.7918404399978729,0.5146637265711135,0.07200469651334931,0.23662649089535898,0.4764705882352941,0.42915811088295686,0.47412798594486416,0.7632183908045975,0.5531674208144797,0.2118628695809904,0.08089887640449435,0.16154521510096573,0.004214963119072708
2017,吉林,0.22169811320754718,0.270896273917422,0.35714285714285715,0.0037223137394490754,0.3733108108108108,0.14574898785425108,0.8948471934182638,0.2950385887541346,0.032339578334779726,0.20251524826558484,0.5352941176470588,0.5164271047227926,0.8395432166122215,0.20517241379310344,0.5361990950226243,0.0760021766733176,0.5842696629213482,0.3590869183494293,0.008429926238145417
2017,黑龙江,0.09339622641509435,0.34642497482376644,0.3333333333333332,0.004312806801155601,0.30743243243243246,0.11740890688259105,0.8811124531856545,0.3517089305402426,0.016284649548215836,0.17190330485266936,0.4823529411764706,0.42915811088295686,0.7496228778444468,0.5919540229885057,0.5633484162895928,0.11518229639035008,0.397752808988764,0.3204565408252853,0.005619950825430278
2017,上海,0.7141509433962264,0.5367573011077543,0.6296296296296297,0.035608939071601425,0.18918918918918917,0.7489878542510126,0.923494154379088,0.9603087100330762,0.9907345959467048,0.6435423618330788,0.5705882352941176,0.5893223819301847,0.28553277323931414,0.12183908045977015,0.35972850678733037,0.23598766551786687,0.3932584269662921,0.3775241439859526,0.13874253600280997
2017,江苏,0.2160377358490566,0.3202416918429003,0.5158730158730159,0.051050056703889804,0.6418918918918919,0.5141700404858299,0.4952179098581705,0.5426681367144434,0.19847873806728267,0.474121805158281,0.4588235294117647,0.5308008213552362,0.4181857699083238,0.2224137931034483,0.45135746606334837,0.507527661890078,0.15056179775280898,0.2028094820017559,0.021777309448542326
2017,浙江,0.2018867924528302,0.3836858006042296,0.5396825396825395,0.04856943398204791,0.3935810810810811,0.4655870445344133,0.5616240114861324,0.525909592061742,0.14719995916075346,0.3975296240146103,0.5058823529411764,0.5451745379876797,0.5967125710242427,0.5936781609195403,0.45135746606334837,0.27752584799564667,0.12808988764044946,0.25548726953467954,0.03196347031963471
2017,安徽,0.25943396226415094,0.09264853977844914,0.4021164021164022,0.019075133343818725,0.29307432432432434,0.251012145748988,0.7951145954404917,0.20595369349503867,0.10827505232528459,0.22969713980762166,0.5352941176470588,0.38603696098562623,0.7275371216223603,0.5936781609195403,0.6504524886877827,0.174496644295302,0.2966292134831461,0.1791044776119403,0.01650860554970144
2017,福建,0.21320754716981136,0.25075528700906347,0.37830687830687826,0.016713161096992623,0.2778716216216216,0.22267206477732798,0.8409413766646155,0.45534729878721053,0.08160191944458624,0.3909972910438253,0.7764705882352941,0.7782340862422998,0.7078813758242619,0.4298850574712643,0.6809954751131222,0.1153636858334845,0.2539325842696629,0.25812115891132564,0.01791359325605901
2017,江西,0.21226415094339623,0.03826787512588116,0.2645502645502646,0.0090367512948078,0.2001689189189189,0.125506072874494,0.8709367427091167,0.23042998897464173,0.06687426616978917,0.20973082171670637,0.6588235294117647,0.4579055441478439,0.8292577040572955,0.545977011494253,0.7794117647058822,0.1042989298022855,0.5528089887640449,0.16154521510096573,0.012293642430628731
2017,山东,0.310377358490566,0.3323262839879154,0.4708994708994709,0.023799077837470924,0.5633445945945946,0.27530364372469657,0.36819055432743075,0.36229327453142224,0.1601153708714074,0.29425413221995916,0.0,0.22587268993839837,0.3927143716290844,0.6293103448275861,0.5361990950226243,0.41628877199347,0.16179775280898875,0.04214223002633889,0.009834913944502987
2017,河南,0.2745283018867925,0.08761329305135954,0.44708994708994687,0.01730365415869915,0.11402027027027024,0.3076923076923078,0.5886908695883376,0.13252480705622927,0.14816989126550614,0.20937535200734209,0.06470588235294118,0.22587268993839837,0.6603463720891676,0.54367816091954,0.6957013574660633,0.17231997097768909,0.15056179775280898,0.12028094820017556,0.009483667017913594
2017,湖北,0.1830188679245283,0.17220543806646527,0.5608465608465609,0.024980063960883973,0.31587837837837834,0.47773279352226744,0.7976594726406709,0.3561190738699007,0.0789984174791975,0.2941571859355871,0.40588235294117647,0.44353182751540043,0.5040604431392881,0.08678160919540238,0.33257918552036203,0.14601850172319972,0.24719101123595502,0.3775241439859526,0.015103617843343874
2017,湖南,0.17924528301886794,0.1379657603222558,0.4259259259259258,0.01257970966504695,0.12753378378378377,0.376518218623482,0.7882586202967251,0.2520396912899669,0.07787533820001019,0.23748515798551165,0.4176470588235294,0.18275154004106786,0.6152591919327282,0.529310344827586,0.588235294117647,0.11155450752766187,0.18876404494382024,0.23968393327480242,0.018616087109237796
2017,广东,0.19056603773584907,0.35246727089627394,0.6296296296296297,0.08990394830150465,0.3057432432432432,0.6113360323886642,0.38997774182030887,0.5667034178610804,0.17037623155852774,0.3536037242145966,0.6235294117647059,0.6909650924024641,0.03286638617271165,0.24655172413793094,0.26696832579185514,0.8155269363323054,0.3348314606741573,0.1378402107111501,0.04355461889708465
2017,广西,0.17735849056603775,0.03323262839879155,0.35714285714285715,0.008446258233101274,0.1570945945945946,0.3279352226720649,0.8565562873660141,0.11157662624035286,0.05099800908673235,0.16997822863442388,0.788235294117647,0.6765913757700206,0.7480433141367702,0.5011494252873564,0.8156108597285068,0.14982768002902233,0.040449438202247175,0.3292361720807726,0.012644889357218124
2017,海南,0.2358490566037736,0.20845921450151056,0.2195767195767195,0.0019508345543295007,0.2888513513513513,0.10526315789473692,0.9905117861999286,0.30628445424476297,0.0680228699780489,0.21620314032097532,0.7647058823529411,0.8655030800821355,0.9573028931601626,0.2908045977011493,0.6278280542986423,0.01650643932523127,0.23595505617977527,0.15978928884986832,0.01791359325605901
2017,重庆,0.22169811320754718,0.23262839879154076,0.4708994708994709,0.0113987235416339,0.32685810810810806,0.40890688259109326,0.9061130229342814,0.47100330760749737,0.09533411608555822,0.2974625925837016,0.5941176470588235,0.502053388090349,0.7484257177932319,0.05977011494252868,0.23642533936651589,0.1004897514964629,0.5910112359550561,0.3775241439859526,0.03126097646645592
2017,四川,0.06320754716981132,0.15307150050352467,0.4259259259259258,0.014351188850166525,0.16216216216216212,0.4210526315789474,0.6916140598767824,0.1794928335170893,0.041477359742712744,0.21448118965093801,0.38235294117647056,0.4147843942505133,0.6128849291431326,0.21034482758620687,0.5418552036199096,0.1837475058951569,0.23820224719101118,0.37489025460930636,0.018264840182648404
2017,贵州,0.14622641509433962,0.010070493454179263,0.24338624338624348,0.0066747790479817,0.014358108108108102,0.27530364372469657,0.8855261058820848,0.0412348401323044,0.053014446883455,0.17072609997100846,0.8,0.7340862422997947,0.8367757097183568,0.3011494252873562,0.6380090497737556,0.07473245057137674,0.25842696629213485,0.5820895522388059,0.011239901650860553
2017,云南,0.05849056603773584,0.05236656596173213,0.2645502645502646,0.00785576517139475,0.02956081081081078,0.3238866396761134,0.8119259782583923,0.019404630650496198,0.028332227270406858,0.18553118254154383,0.7647058823529411,0.7638603696098563,0.7207390583148154,0.4655172413793104,0.6165158371040722,0.07074188282241972,0.30786516853932583,0.5109745390693591,0.009834913944502987
2017,陕西,0.19905660377358494,0.14803625377643506,0.4021164021164022,0.01021773741822085,0.19510135135135137,0.3643724696356276,0.8396841313612434,0.30826901874310925,0.0464035938536934,0.25746532554562296,0.07647058823529412,0.10985626283367578,0.8530014756681671,0.20287356321839084,0.4626696832579186,0.11427534917467802,0.5752808988764044,0.2704126426690079,0.013347383210396909
2017,甘肃,0.07358490566037737,0.05740181268882174,0.1296296296296294,0.0019508345543295007,0.1731418918918919,0.13765182186234814,0.9362261370283431,0.03042998897464173,0.013043034356016132,0.1398602496228328,0.36470588235294116,0.25462012320328553,0.9043160382749684,0.1362068965517242,0.5135746606334841,0.03754761472882278,0.5325842696629214,0.31870061457418786,0.005619950825430278
2017,青海,0.0,0.22557905337361533,0.060846560846560774,0.00029800584422572286,0.21283783783783783,0.04048582995951418,0.9964219786230315,0.19669239250275636,0.0,0.19824961175321357,0.711764705882353,0.5164271047227926,0.9882682308657355,0.6097701149425289,0.7058823529411765,0.00036277888626881947,0.946067415730337,0.9517120280948199,0.007376185458377239
2017,宁夏,0.16886792452830188,0.36958710976837866,0.15079365079365087,0.0013603414926229758,0.5996621621621622,0.05668016194331979,0.9825998769342966,0.30496141124586545,0.025039563020062282,0.21419496728755377,0.3588235294117647,0.25462012320328553,0.9927304054289389,0.5413793103448274,0.9558823529411763,0.03664066751315073,0.797752808988764,0.7129060579455662,0.008429926238145417
