,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
上海,0.0,0.006204003849485274,0.008567012895242155,0.08822814219316594,0.005956658983016526,0.006568920033696333,0.01088255935727447,0.0065850649550684036,0.006849902501968317,0.007710245385029192,0.006660912330439146,0.008925727457591882,0.005764538045302223,0.006675834113709769,0.36648889584372785,0.006522753097683531,0.006045064264959618,0.006045439674639693,0.3613055308672069,0.006542138189781651,0.008007776589646095,0.006762818205889626,0.0055943359046003805,0.011576359714181316,0.0058009885911377256,0.006655750959215333,0.007910601518208523,0.0072574800482266815,0.006174578031140084,0.005729966398765149
云南,0.0005573535523604999,0.0,0.002020656046873594,0.000520737280712567,0.013421917574323776,0.18503274172103054,0.0012964282385077431,0.009631295369640906,0.005910765371175053,0.002852994564338798,0.008125040986651944,0.001827797968365016,0.18231074200510017,0.007885715246888558,0.0008935555257362119,0.011405095135404136,0.021196994467844975,0.021248496032156398,0.0012351510339876895,0.010783216363552502,0.0024743318473727585,0.006745014223319802,0.005114225095840116,0.0012009822221234088,0.18302235187867477,0.00821150269262517,0.002583485604300145,0.0038396117042345627,0.2919148685749659,0.006736931671892405
内蒙古,0.0022375684571208226,0.00587463097049718,0.0,0.002039532753120311,0.09260596197937981,0.0073561675712878645,0.010515975192047602,0.09493431733955994,0.008926040122578518,0.020136002845704812,0.09531917663917426,0.05567344000091178,0.004602536327232247,0.00789852566902284,0.004657335991022628,0.0071395073967068755,0.0928633830143368,0.005364514630100225,0.00923736061463737,0.007229277860747511,0.03203905880152678,0.008387203800987609,0.09171090475047897,0.008607411457668137,0.00469267439640902,0.09529201860007042,0.02696489006605587,0.09990054256509896,0.005774855449228031,0.09201918473728687
北京,0.09387127615214537,0.00616716465341733,0.008308246266918106,0.0,0.005936838478924893,0.006504777934093553,0.3603072843348207,0.006519654866480476,0.006762971430200389,0.007544131820945997,0.0065894775891769085,0.008624166069707787,0.005757100077358071,0.0066032009786031855,0.014781157304977172,0.006462208878379112,0.35601929977805463,0.006019649617077591,0.010662394011623307,0.0064800883032011284,0.007811029203479041,0.006683113410074844,0.00559725285759315,0.010888190295231404,0.005791257776008754,0.006584729731772201,0.00772404094161506,0.00713479189128967,0.0061398267452752,0.005724678601554998
吉林,0.0007139818095948762,0.017907718636217443,0.23567656417904,0.0006688273982520998,0.0,0.007660156237249893,0.0015773612034349982,0.007481698526149909,0.005475159288797484,0.0031392461183935186,0.00675283122606164,0.0021463899811926894,0.02142188920061716,0.0066275358496255925,0.0011177819777916799,0.008226632130779187,0.04881644202503203,0.04861306057929407,0.0015090879788020835,0.007977893567564417,0.0027874432594947682,0.0059894737780759435,0.011023761626049781,0.0014707696330471583,0.02660475758181598,0.240130748618395,0.002890561932870219,0.0039833811895592436,0.020229312115444414,0.2513795323513569
四川,0.0002491333134934651,0.12090210873937575,0.001068175302576936,0.00023187008243558273,0.002423767998819752,0.0,0.0006285173051939759,0.10154729013424106,0.006073230664996238,0.0016830064304178172,0.018036945412875646,0.0009435146702046934,0.0017853728322852777,0.01555458387957122,0.00041410606702813323,0.035191035615147304,0.0028748345551244258,0.0028770748378950297,0.0005946389826631828,0.06083293627383989,0.0013865078314927461,0.008688828031143847,0.11809673556039392,0.0005759522249196469,0.11854860781208665,0.019094151979268982,0.11813555143469902,0.11929250764373495,0.12056747854108041,0.0017015358429943658
天津,0.003285667823167523,0.004356948006730217,0.01215612766391835,0.35292490172813146,0.00397319019635043,0.005003478300954745,0.0,0.005034618968234585,0.005581035577456338,0.007985697420111593,0.005184102855671196,0.0149867832750688,0.0037007074839253266,0.005214146019255068,0.009663459537342317,0.004915703227034521,0.35410584527399575,0.004106418927796064,0.08781572011267538,0.004952331799667941,0.009152238206829191,0.00539360974712659,0.003475851071499321,0.054820330832958834,0.0037508211318386447,0.005173760448509421,0.0087455556684267,0.006577936147158956,0.004309180381718327,0.003653832166446606
宁夏,0.0002675667157755614,0.004356101712750912,0.1761565547844645,0.0002489837726286859,0.0025362252357352187,0.10879339612525449,0.0006775572901363692,0.0,0.00692019980073988,0.0018334677398256058,0.023494335031034843,0.001020314868942403,0.0018797444087148899,0.019676475719651244,0.00044547082823980297,0.028003887282658464,0.0029952341590789577,0.002997503998734636,0.0006408206361871363,0.04076767000231153,0.0015059937631002594,0.010179239868085097,0.17651085135047695,0.00062056780909143,0.0019795683695098313,0.025190056796593585,0.001596782134478291,0.17788783817994738,0.17902466195493014,0.0017929296609217739
安徽,0.0007545965355934129,0.007247953900172533,0.003764803738359068,0.0007002326907780986,0.005032024720425105,0.017640559850564425,0.0020363508111456287,0.018761909028306798,0.0,0.12342912878125488,0.026593982777217293,0.0032446252038910196,0.004007742546816365,0.02893824758502815,0.11795750972372332,0.13171141572878242,0.005667631479001859,0.12233729509244451,0.11858134111123812,0.016039862003869382,0.12188534265381526,0.058592976346647924,0.003362175010517469,0.0018482013711152894,0.004173235619154364,0.025866984984455367,0.005627644613275192,0.013436226320938964,0.006899265827842912,0.0038607339436245807
山东,0.0014971475639029242,0.006166498600236057,0.01497003312279499,0.0013768292656791163,0.005085543391552332,0.008616767088025825,0.005135901057420385,0.008761887164386977,0.18691985125574395,0.0,0.009503415482807061,0.010993945824402038,0.004435567041995766,0.009662100652250406,0.17781207481364614,0.00822356638429863,0.18043501874804876,0.18043658192170742,0.004707817117426112,0.008384882589014162,0.0402922717280415,0.010686625055407014,0.003958347100879699,0.004482904110116102,0.004548830551462692,0.009449572416871308,0.0591069825194496,0.023997390456797735,0.0060196523545657426,0.004331994621069615
山西,0.00013470483680338302,0.0018290110026459503,0.17560542951062677,0.00012524917393122605,0.0011393337391121998,0.009617775472841093,0.0003472405792461583,0.011693394594820033,0.004882052424545149,0.0009897665703254672,0.0,0.0005308737311873182,0.0008662708710894424,0.06022102383826444,0.00022600036759176813,0.006359170238009547,0.17632221935531367,0.17632310799557244,0.0003278856107594401,0.0074189358133109175,0.0008008792790841656,0.00893849120282528,0.0007065387696586343,0.0003172418451961505,0.0009086998120656379,0.17333802149632035,0.0008526801612368867,0.17663870429207193,0.0017101983898843308,0.0008290990256604694
广东,0.0026300964002068995,0.005995115030473988,0.06281005753889587,0.0023884687769595587,0.005276576852558446,0.007330589038215513,0.01462661607543334,0.007399293186486112,0.008678849664009612,0.016683425629831192,0.00773516903433171,0.0,0.14479605229949105,0.007803913171603737,0.005733995957722205,0.14713922169220528,0.00551922493911508,0.005520287095262136,0.01249444562922628,0.14721867232619332,0.022943296499762827,0.14822352628724275,0.004416649308172649,0.15148656079705647,0.004882678955466662,0.0077116011478320584,0.020495276476079644,0.011441761450961565,0.005902861859510073,0.004715716879693954
广西,0.0005347207145824883,0.14754857964891036,0.001634604963084053,0.0005019271525762921,0.016578142097777495,0.004366702366443521,0.0011369847693907453,0.004291303943092974,0.003374674554845376,0.002118923310322027,0.003973440714231382,0.14150979632514696,0.0,0.003917134772491194,0.0008221410561989224,0.004600025312768267,0.011522351867615875,0.011507667927365274,0.0010910109720112314,0.14449868082775488,0.0019088037899071995,0.14362241403903486,0.01757479166830836,0.0010650880426773097,0.22507980532903055,0.003993355540972348,0.001971022911367539,0.002599362884176197,0.008051907210142688,0.08860463528777361
新疆,0.00024022263347063115,0.0031585718679273582,0.0010881969655044128,0.00022332498605703277,0.0019896471454829857,0.014758049248740628,0.0006214396600533936,0.017425436926291747,0.009452576443550397,0.001790537976382731,0.10715366985181263,0.0009529997150434904,0.0015195479274413652,0.0,0.00040364517273991146,0.01023512108067877,0.0023021681994663586,0.002303682206469564,0.0005866115203553809,0.01175385680382391,0.0014442291065004046,0.018674374917777507,0.35124260458163464,0.0005674682677869367,0.0015928680764145417,0.07956857140660416,0.0015389825062635384,0.0029973132482208186,0.352959052847058,0.0014552287104468396
江苏,0.15188343065310553,0.0071682491423081095,0.012851118285198282,0.010012282913237396,0.006720830691307711,0.007869081180079989,0.023066955825267306,0.007901280979498519,0.1484448762075712,0.15043712114012522,0.008053968645121775,0.014024248508301949,0.006387546861558086,0.008084285405013802,0.0,0.007777580480267344,0.00687831203844177,0.14687898646198114,0.1659189345274925,0.007815897375906931,0.01122015722784452,0.008262863648849815,0.006102106370065361,0.028002958692290598,0.006449858843202795,0.008043503644676828,0.010958440873472053,0.009342389766359505,0.007113896634374002,0.0063288369770799074
江西,0.00032460100927854217,0.006317701806976458,0.0013603174319918086,0.00030225558208519685,0.003415518121886646,0.04617566350163569,0.0008102368134465562,0.0342977177689875,0.12346298100733483,0.0021075734589865447,0.01564839878064816,0.1178723735747637,0.0024678380091368727,0.014154793032466327,0.0005370480925440086,0.0,0.004107682202082085,0.004111168141234627,0.11743395566005853,0.10948771863664032,0.1184170159189893,0.12581051062340493,0.001955919653515471,0.11741023150073635,0.0026088597151766695,0.016243036585520357,0.0018501772926744627,0.0032062902005991606,0.005756348266098431,0.0023460676111004934
河北,1.8643606973037926e-05,0.0007276869530120487,0.10006333166683978,0.10001744815064227,0.0012560609962324663,0.0002337782180719482,0.10004194101977881,0.00022734623792491955,0.000158671966269381,0.1000863244172758,0.10020164295563048,5.77669005052256e-05,0.0003830960300620437,0.0001973138997507373,2.9434768821662417e-05,0.000254569826710517,0.0,0.39317263907982786,4.0067775924555653e-05,0.0002453692457035454,7.60646006131036e-05,0.00017566124258695863,0.00023139583459236927,3.901878458124634e-05,0.0004430900794405689,0.10020318959771567,7.905562361916464e-05,0.00011159900505127078,0.0008887719615581675,0.0003390195542841381
河南,1.8644827849389524e-05,0.0007294574551517205,6.33452434275482e-05,1.74492237502833e-05,0.0012508321650016086,0.00023396118674405225,4.1947021529077454e-05,0.00022751929446920385,0.10015875640635578,0.10008634953728028,0.10020177915889855,5.77782130083111e-05,0.00038260911163502377,0.00019744432998163562,0.10002943775450772,0.00025478672650513216,0.3931736308610191,0.0,4.0073259546503404e-05,0.00024557077441593613,0.1000760841342629,0.00017576467520540991,0.00023121841004904024,3.902398827268984e-05,0.00044243860920450154,0.0002033278938469164,7.90767133736108e-05,0.10011164088096912,0.0008914138342901018,0.000338638309448936
浙江,0.14268111586344567,0.0032605132812075052,0.008387366291757936,0.002376587243959151,0.002985759151685317,0.0037182635547555083,0.06897699640399059,0.003740150569468818,0.14412182117440941,0.005749734589591851,0.0038450103025882572,0.010055729183396261,0.0027892744047386497,0.003866044269294478,0.1485288702076099,0.14365649231045083,0.0030809939234873558,0.0030814051600097417,0.0,0.003682283685776787,0.00651037928064779,0.003991408894608778,0.0026262492823348116,0.25458843522124613,0.002825498640950246,0.0038377661813137577,0.006247287911241744,0.004806769540536188,0.003226438432113043,0.002755355043383475
海南,0.00027349629849340607,0.005017892394550684,0.001157123586626501,0.0002546168118443737,0.002782502530301132,0.06705523513047056,0.0006857232321678643,0.041944556387045036,0.0060869810549109464,0.0018052290649243478,0.015336416014612756,0.35102414399499027,0.3520274699339933,0.013655378665348453,0.0004533778789545759,0.09197678393197671,0.0033260046381904658,0.0033287251191908528,0.0006491190594379744,0.0,0.001494282561048706,0.008380976680548179,0.0016142771325869231,0.0006289114891659481,0.0021406323696627877,0.016020653205158844,0.0015809703921956931,0.002774703219378789,0.004594291061984868,0.0019295261602391542
湖北,0.0013243812747310564,0.004555125151213817,0.02028775176986039,0.0012141819083272348,0.0038461189319252504,0.006046242773292968,0.005013439616027102,0.006129883659536008,0.12450152232914868,0.034318352417003754,0.0065496586816720034,0.012877419865615556,0.0034032971759464957,0.006637870718154613,0.002574837139401212,0.12248377123516369,0.004079008929255178,0.12074670929689746,0.004540281201840279,0.005911559595134256,0.0,0.12386084567475901,0.0030698909488097712,0.004296219264771793,0.0034813859265255265,0.006519599798687454,0.22446143439403496,0.12947691712001252,0.004460750284859905,0.0033315429173920484
湖南,0.0005609802046123573,0.006227933667112866,0.0026637294293489753,0.0005210424014815754,0.0041449956742563585,0.019003920108209265,0.0014818584921734966,0.020780842318027803,0.04411994534973146,0.004565243930193154,0.03666355456892315,0.11898166063227018,0.1199059983063801,0.04304844910719905,0.000951042988564685,0.13190823660679285,0.0047246186192841265,0.004727384570525105,0.001396115735372489,0.016629634965467675,0.1202749445782772,0.0,0.0026857801561186428,0.0013491277712761444,0.12005001741807726,0.034869267670203125,0.12053293625931077,0.00823027454415304,0.005888335077266298,0.003112128849390949
甘肃,0.001175428026974452,0.011961031290133086,0.12005414097225867,0.001105342430649994,0.019323816572211525,0.1245892466685374,0.002418889628712199,0.12447929590698704,0.006412647997529627,0.0042831666130175835,0.007340641719500378,0.0031492879680620946,0.03980844277544957,0.1239222455096681,0.0017790043694889902,0.008258089527932234,0.015764275731447647,0.015752135062978154,0.002326798777365538,0.008113231303520329,0.0039000427475544314,0.006802963482352445,0.0,0.0022746718618502906,0.03299439243911622,0.007370621257493468,0.004014349112964905,0.1217958636749858,0.12917466103201636,0.0496552755392417
福建,0.0030439546623306003,0.0035151513600916416,0.008665463947804958,0.0026908920856081385,0.00322646093501414,0.003993142396630262,0.04774360500490882,0.004015904579722259,0.0044114873427679715,0.006070566316520228,0.004124840512419555,0.24358343414741995,0.0030191811871198475,0.004146668908673742,0.010216916045099758,0.23726218907164828,0.0033266789243645467,0.0033271113273722216,0.3603855753212784,0.003955705540296204,0.0068304846721043535,0.0042766078143533885,0.002846671932591884,0.0,0.003057447760148905,0.004117320993842421,0.006568726675507389,0.005115061239890032,0.0034794212721037878,0.00298332802236638
贵州,0.0006133651069141047,0.1494419141476763,0.0018997242469251149,0.0005755252254840678,0.02346885767906891,0.1452466882901485,0.0013135626735119236,0.0051512844973995485,0.004005525892031271,0.00247696805832393,0.0047510327119292504,0.0017520527573740765,0.23697974629617646,0.004680459332277438,0.0009462742092036308,0.005543050757202371,0.015190779667677548,0.01516839352589935,0.001259759190572001,0.005414114096081535,0.002225707763868121,0.1443126504086262,0.016603883906471672,0.0012294473462428487,0.0,0.004776017240935129,0.14229997682926174,0.003056285150927102,0.010137280485468627,0.04947967250632103
辽宁,0.00014121305751125092,0.001939285354550339,0.2339663000337562,0.00013130768951206034,0.23453653157080684,0.010681699073083781,0.00036357289584767517,0.013153305732897053,0.004981879134956253,0.0010325082788812914,0.18185370585442082,0.0005552573386001391,0.0009133837329290737,0.0469149185241952,0.0002367951453240914,0.006925100641573691,0.23473115010378556,0.001398763429032567,0.00034334575495487867,0.008130668844299511,0.0008363684603593901,0.008918684396467102,0.0007442766358334172,0.00033222044319075904,0.0009583554654205374,0.0,0.0008902005349678352,0.001703142869280026,0.0018120567053005853,0.0008740022982622333
重庆,0.0012358266549680145,0.004492575463063112,0.01612871594360567,0.0011341409439962749,0.0037674363097592455,0.14605059310233864,0.004525252826135035,0.00613934006208381,0.007980760843446193,0.04755436978308417,0.006586955598630665,0.01086610221161152,0.0033195347825876295,0.006681490354225987,0.002375453629143224,0.00580821213966922,0.004004532308582787,0.0040055870514070285,0.004115427438617015,0.005907994019815823,0.24182270901061656,0.14728149172405933,0.0029848030936734772,0.0039026811849537167,0.14339824319354094,0.006554779816756722,0.0,0.15373219651038586,0.004395479144808129,0.0032473148544344688
陕西,0.0014525774839756207,0.008554252184872036,0.08728048249185336,0.0013421751073886387,0.006651520225224547,0.09163525104959036,0.004360642676138982,0.09200284366205752,0.02441183078817682,0.024735521291482692,0.09399604964215084,0.007771740683475787,0.005608643966097139,0.016671596995690156,0.0025945448243498643,0.012895475449660439,0.007242437621681031,0.085022908510033,0.00405678634483182,0.013284287192583694,0.09328057243612396,0.01985856929278622,0.08266379884637376,0.0038934816184017043,0.00578535847314581,0.01606670223839344,0.09537100117125137,0.0,0.08606011645330121,0.005448831278908096
青海,0.0005424198632657478,0.23099117239434888,0.0019423277223405058,0.0005069426494407468,0.014826034520549246,0.1257020270261286,0.0012538060624211814,0.12536799757651618,0.005501748872288373,0.002723349025758789,0.007428913853473461,0.0017597982287946101,0.007625433959459192,0.12389058180912395,0.0008671327531139256,0.010161467601056446,0.025315681902401813,0.025390846816716786,0.0011951627846751574,0.009654172792017699,0.002369382245833586,0.006235926587318358,0.12189626671599091,0.0011624362624040956,0.008422338841259584,0.007502781392199546,0.0024716471736187895,0.12030186264708531,0.0,0.006990339920398718
黑龙江,0.0006272426741074621,0.00820893752024877,0.3518940729720981,0.0005889915228096728,0.3664810491815181,0.004911190669287229,0.00132476701791951,0.00483030717252095,0.003836392023966342,0.0024421651146473906,0.004487871927325484,0.001751875344676192,0.10456286299102682,0.004426968070514327,0.0009612960768529805,0.005160658488561084,0.01203314788814334,0.012019575336322601,0.0012718516812037083,0.005052454998940915,0.002205097775955024,0.004106967522973492,0.025870297096626377,0.001241990756188116,0.05122633485264238,0.004509395261645329,0.0022754110972669768,0.0029801177580266428,0.008710709205984839,0.0
